case_id,case_pool_status,validation_status,validation_tier,sampling_frame,selection_stratum,oversample_low_capacity,oversample_high_debt,province,city,prefecture_name,prefecture_name_chn,platform,company_name,unified_social_credit_code,gadm_gid,source_doc_ids,source_doc_count,source_doc_types,source_ids,source_coverage_score,formal_event_year,formal_event,formal_event_source_doc,continued_function,continued_function_source_doc,continued_function_evidence_score,exit_type,confidence,alternative_label,ambiguity_note,caveat,historical_capacity_bin,historical_capacity_label,elite_density_percentile,elite_per_1000_sqkm,jinshi_per_1000_sqkm,juren_per_1000_sqkm,debt_pressure_value,debt_pressure_year,debt_pressure_bin,debt_pressure_source,debt_pressure_status,land_finance_dependence_value,land_finance_dependence_year,land_finance_dependence_bin,land_finance_dependence_source,land_finance_dependence_status,llm_label,llm_confidence,llm_model,human_reviewer,validation_date,notes
pilot_sd_002,human_validated,human_validated,gold_standard,pilot_expansion,coastal_municipal_economy,0,0,Shandong,Qingdao,Qingdao,青岛市,青岛城市建设投资(集团)有限责任公司,青岛城市建设投资(集团)有限责任公司,,CHN.23.10_1,doc_sd_qd_chengtou_2026_mtn2_001;doc_sd_qd_chengtou_2026_mtn2_002;doc_sd_qd_chengtou_2026_mtn2_003;doc_sd_qd_chengtou_2026_mtn2_004;doc_sd_qd_chengtou_2026_mtn2_005;doc_sd_qd_chengtou_2026_mtn2_006;doc_sd_qd_chengtou_2026_mtn2_007,7,prospectus;financial_statement;financial_report;legal_opinion;issuance_plan,src_sd_qd_002,4,2015,Prospectus states that the company does not undertake government financing functions and that new debt after January 1 2015 is not local government debt; the same document also describes a 2014 market-oriented reform and SOE transformation.,doc_sd_qd_chengtou_2026_mtn2_001,"Formal no-government-financing language coexists with continuing land-development, urban-renewal, infrastructure-construction, delegated project-management, fiscal-settlement, and policy-loan-administration functions. The same issuer remains a municipal infrastructure and city-renewal vehicle, including projects for which fiscal funds or policy-bank loans support construction and repayment.",doc_sd_qd_chengtou_2026_mtn2_001,,nominal_exit,medium,substantive_exit,"The prospectus repeatedly says that the delegated-management model is fiscal-funded rather than platform-financed, that the issuer has no PPP BT project repurchase government purchase service or advance financing for government projects, and that government receivables have operating backgrounds.",The current packet relies on issuer disclosures rather than an independent platform-list exit document. The case should be read as nominal exit near the boundary of formal fiscal substitution.,middle,Middle historical elite density,0.438,18.12,15.66,5.64,,,,,not_collected,,,,,not_collected,,,,Shunyu Hao / Codex-assisted review,2026-06-30,New validated case added in the June 30 expansion; middle-capacity coastal nominal-exit case between Suzhou and weaker debt-pressure cases.
pilot_yn_003,candidate_not_started,not_validated,source_only_candidate,pilot_expansion,inland_prefecture_variation,0,0,Yunnan,Yuxi,Yuxi,玉溪市,,,,CHN.30.15_1,,0,,,,,,,,,,,,,,,middle,Middle historical elite density,0.406,16.31,5.52,10.98,,,,,not_collected,,,,,not_collected,,,,,,
pilot_sc_002,candidate_not_started,not_validated,source_only_candidate,pilot_expansion,western_prefecture_variation,0,0,Sichuan,Mianyang,Mianyang,绵阳市,,,,CHN.26.12_1,,0,,,,,,,,,,,,,,,middle,Middle historical elite density,0.375,13.26,4.06,10.73,,,,,not_collected,,,,,not_collected,,,,,,
pilot_sd_004,candidate_not_started,not_validated,source_only_candidate,pilot_expansion,mixed_capacity_north,0,0,Shandong,Linyi,Linyi,临沂市,,,,CHN.23.9_1,,0,,,,,,,,,,,,,,,middle,Middle historical elite density,0.344,12.48,7.35,6.70,,,,,not_collected,,,,,not_collected,,,,,,
pilot_sc_003,human_validated,human_validated,gold_standard,pilot_expansion,western_prefecture_variation,1,0,Sichuan,Luzhou,Luzhou,泸州市,泸州市兴泸投资集团有限公司,泸州市兴泸投资集团有限公司,,CHN.26.10_1,doc_sc_lz_xinglu_2023_mtn1_001;doc_sc_lz_xinglu_2023_mtn1_002;doc_sc_lz_xinglu_2023_mtn1_003;doc_sc_lz_xinglu_2023_mtn1_004;doc_sc_lz_xinglu_2023_mtn1_005;doc_sc_lz_xinglu_2023_mtn1_006;doc_sc_lz_xinglu_2023_mtn1_007;doc_sc_lz_xinglu_2023_mtn1_008;doc_sc_lz_xinglu_2018_mtn1_rating;doc_sc_lz_xinglu_2018_mtn1_prospectus;doc_sc_lz_xinglu_2015_bond_prospectus;doc_sc_lz_xinglu_2015_bond_prospectus_summary;doc_sc_lz_xinglu_2015_bond_rating;doc_sc_lz_xinglu_2015_bond_legal;doc_sc_lz_xinglu_2015_q3_statement;doc_sc_lz_xinglu_2015_no_litigation;doc_sc_lz_xinglu_2015_no_violation;doc_sc_lz_xinglu_2015_audit_2011_2013;doc_sc_lz_xinglu_2015_ndrc_approval;doc_sc_lz_xinglu_2017_mtn1_prospectus;doc_sc_lz_xinglu_2017_mtn1_rating;doc_sc_lz_xinglu_2021_tracking_rating,22,legal_opinion;financial_report;rating_report;financial_statement;prospectus;issuance_plan;prospectus_summary;issuer_statement;regulatory_approval,src_sc_lz_xinglu_001;src_sc_lz_xinglu_002;src_sc_lz_xinglu_003;src_sc_lz_xinglu_004;src_sc_lz_xinglu_005,4,2015,The 2023 and 2018 prospectuses state that the issuer does not undertake government financing functions and that new debt after January 1 2015 is not local government debt.,doc_sc_lz_xinglu_2023_mtn1_007;doc_sc_lz_xinglu_2018_mtn1_prospectus,"Formal no-government-financing language coexists with a long record of continuing infrastructure investment-financing, government-designated project construction, entrusted-construction receivables, fiscal subsidies, project repurchase payments, and financing-interest support. The same issuer remains central to Luzhou's public-project finance after the formal compliance point.",doc_sc_lz_xinglu_2023_mtn1_007;doc_sc_lz_xinglu_2023_mtn1_003;doc_sc_lz_xinglu_2015_bond_prospectus,,nominal_exit,medium,substantive_exit,"The issuer repeatedly uses compliance language and states that the bond proceeds do not add local government debt or hidden debt, so the case could be read as formal fiscal substitution.",No independent regulator or local government exit-list document has been collected. The label relies on repeated issuer disclosures and rating evidence rather than a direct platform-list exit notice.,low,Low historical elite density,0.312,11.36,6.62,8.50,,,,,not_collected,,,,,not_collected,,,,Shunyu Hao / Codex-assisted review,2026-06-30,New validated case added in the June 30 expansion; low historical-capacity western nominal-exit case with unusually rich cross-time source coverage.
pilot_hn_002,human_validated,human_validated,gold_standard,pilot_expansion,central_industrial_city,1,0,Hunan,Zhuzhou,Zhuzhou,株洲市|株洲市,株洲市国有资产投资控股集团有限公司,株洲市国有资产投资控股集团有限公司,,CHN.14.14_1,doc_hn_zz_guotou_2026_scp1_001;doc_hn_zz_guotou_2026_scp1_002;doc_hn_zz_guotou_2026_scp1_003;doc_hn_zz_guotou_2026_scp1_004;doc_hn_zz_guotou_2026_scp1_005;doc_hn_zz_guotou_2026_scp1_006,6,financial_statement;financial_report;prospectus;legal_opinion;issuance_plan,src_hn_zz_002,4,2013,Issuer prospectus states that the company exited local government financing platform management in March 2013 after Hunan banking-regulator approval and is no longer on the banking-regulator financing-platform list.,doc_hn_zz_guotou_2026_scp1_003,Direct formal exit from the platform list is documented but the same issuer continued land preparation major project construction government-entrusted work fiscal settlement and government support. These continuing functions make the formal exit nominal rather than substantive.,doc_hn_zz_guotou_2026_scp1_005,,nominal_exit,medium,functional_transfer,Some evidence frames land preparation and entrusted construction as service-based marketized operations and says government receivables have operating backgrounds. The alternative reading is formal fiscal substitution or functional transfer rather than continued off-budget financing.,The final label relies on a 2026 issuer prospectus and legal opinion rather than an independently collected 2013 government exit-list notice. Confidence should rise only if the original Hunan banking-regulator approval or local exit-list document is collected.,low,Low historical elite density,0.281,9.19,6.72,4.95,,,,,not_collected,,,,,not_collected,,,,Shunyu Hao / Codex-assisted review,2026-06-27,Use as fifth human-validated pilot label and first low historical-capacity non-Guizhou nominal-exit case.
pilot_yn_004,candidate_not_started,not_validated,source_only_candidate,pilot_expansion,inland_prefecture_variation,1,0,Yunnan,Honghe,HongheHaniandYi,红河哈尼族彝族自治州,,,,CHN.30.6_1,,0,,,,,,,,,,,,,,,low,Low historical elite density,0.250,7.87,4.21,3.84,,,,,not_collected,,,,,not_collected,,,,,,
pilot_gz_004,candidate_not_started,not_validated,source_only_candidate,pilot_expansion,debt_pressure_inland,1,1,Guizhou,Bijie,Bijie,毕节地区,,,,CHN.8.2_1,,0,,,,,,,,,,,,,,,low,Low historical elite density,0.219,7.79,2.38,5.66,,,,,targeted_for_collection,,,,,not_collected,,,,,,
pilot_gz_002,source_started,not_validated,source_started,pilot_expansion,debt_pressure_inland,1,1,Guizhou,Zunyi,Zunyi,遵义市,遵义道桥建设集团有限公司,遵义道桥建设集团有限公司,,CHN.8.9_1,doc_gz_zy_daoqiao_2015_bond_prospectus;doc_gz_zy_daoqiao_2015_bond_rating;doc_gz_zy_daoqiao_2017_restructuring_notice;doc_gz_zy_daoqiao_2017_asset_restructuring_special_rating;doc_gz_zy_daoqiao_2022_tracking_rating;doc_gz_zy_daoqiao_2022_debt_restructuring_media_notice;doc_gz_zy_daoqiao_2023_bank_restructuring_notice,7,prospectus;rating_report;rating_attention_notice,src_gz_zy_002;src_gz_zy_003,,,,doc_gz_zy_daoqiao_2015_bond_prospectus;doc_gz_zy_daoqiao_2015_bond_rating;doc_gz_zy_daoqiao_2017_restructuring_notice;doc_gz_zy_daoqiao_2017_asset_restructuring_special_rating;doc_gz_zy_daoqiao_2022_tracking_rating;doc_gz_zy_daoqiao_2022_debt_restructuring_media_notice;doc_gz_zy_daoqiao_2023_bank_restructuring_notice,,doc_gz_zy_daoqiao_2015_bond_prospectus;doc_gz_zy_daoqiao_2015_bond_rating;doc_gz_zy_daoqiao_2017_restructuring_notice;doc_gz_zy_daoqiao_2017_asset_restructuring_special_rating;doc_gz_zy_daoqiao_2022_tracking_rating;doc_gz_zy_daoqiao_2022_debt_restructuring_media_notice;doc_gz_zy_daoqiao_2023_bank_restructuring_notice,,,,,,,low,Low historical elite density,0.188,7.21,2.47,4.97,,,,,targeted_for_collection,,,,,not_collected,,,,,,
pilot_yn_002,candidate_not_started,not_validated,source_only_candidate,pilot_expansion,inland_prefecture_variation,1,0,Yunnan,Qujing,Qujing,曲靖市,,,,CHN.30.12_1,,0,,,,,,,,,,,,,,,low,Low historical elite density,0.156,7.13,1.07,6.12,,,,,not_collected,,,,,not_collected,,,,,,
pilot_js_004,human_validated,human_validated,gold_standard,pilot_expansion,within_province_variation,1,0,Jiangsu,Xuzhou,Xuzhou,徐州市,徐州市新盛投资控股集团有限公司,徐州市新盛投资控股集团有限公司,,CHN.15.10_1,doc_js_xz_xinsheng_2026_mtn6_prospectus,1,prospectus,src_js_xz_001,4,2015,Prospectus states that the company does not undertake government financing functions and that new debt after January 1 2015 is not local government debt.,doc_js_xz_xinsheng_2026_mtn6_prospectus,Formal no-government-financing language coexists with continuing shantytown redevelopment municipal water-infrastructure construction supporting land preparation government purchase service and entrusted-construction repayment exposure. The issuer also receives capital injections project repurchase support and fiscal subsidies.,doc_js_xz_xinsheng_2026_mtn6_prospectus,,nominal_exit,medium,functional_transfer,"Some projects are framed as legal government purchase service or entrusted construction with budgeted payments, which may also be read as formal fiscal substitution.","The current formal event comes from issuer compliance language, not from an independent government exit-list document.",low,Low historical elite density,0.125,5.52,3.29,3.65,,,,,not_collected,,,,,not_collected,,,,Shunyu Hao / Codex-assisted review,2026-06-28,New low historical-capacity validated case; useful for the nominal-exit mechanism.
pilot_gd_004,candidate_not_started,not_validated,source_only_candidate,pilot_expansion,within_province_variation,1,0,Guangdong,Zhanjiang,Zhanjiang,湛江市,,,,CHN.6.18_1,,0,,,,,,,,,,,,,,,low,Low historical elite density,0.094,4.76,2.38,2.78,,,,,not_collected,,,,,not_collected,,,,,,
pilot_js_003,human_validated,human_validated,gold_standard,pilot_expansion,within_province_variation,1,0,Jiangsu,Yancheng,Yancheng,盐城市,盐城市城市资产投资集团有限公司,盐城市城市资产投资集团有限公司,,CHN.15.11_1,doc_js_yc_chengzi_2025_mtn2_prospectus,1,prospectus,src_js_yc_001,4,2015,Prospectus states that the issuer does not undertake government financing functions and that new debt after January 1 2015 is not local government debt.,doc_js_yc_chengzi_2025_mtn2_prospectus,"Formal no-government-financing language coexists with land-preparation and infrastructure construction functions, a 2013 engineering entrusted-construction agreement with the Yancheng government, and government support for affordable-housing projects.",doc_js_yc_chengzi_2025_mtn2_prospectus,,nominal_exit,medium,functional_transfer,"The prospectus states that government receivables have real business backgrounds and do not constitute government financing, so the case sits near the boundary between nominal exit and formal fiscal substitution.",No separate platform-list exit document has been collected.,low,Low historical elite density,0.062,2.21,1.82,0.65,,,,,not_collected,,,,,not_collected,,,,Shunyu Hao / Codex-assisted review,2026-06-28,New low historical-capacity validated case; pairs with Xuzhou as a northern Jiangsu comparison.
pilot_gd_002,llm_candidate_ready,not_validated,documented_candidate,pilot_expansion,high_capacity_coastal,1,0,Guangdong,Shenzhen,Shenzhen,深圳市,深圳市特区建设发展集团有限公司,深圳市特区建设发展集团有限公司,,CHN.6.15_1,doc_gd_sz_tqjf_2025_mtn4_001;doc_gd_sz_tqjf_2025_mtn4_002;doc_gd_sz_tqjf_2025_mtn4_003;doc_gd_sz_tqjf_2025_mtn4_004;doc_gd_sz_tqjf_2025_mtn4_005;doc_gd_sz_tqjf_2025_mtn4_006;doc_gd_sz_tqjf_2025_mtn4_007;doc_gd_sz_tqjf_2025_mtn4_008,8,issuance_plan;rating_report;financial_report;prospectus;financial_statement;legal_opinion,src_gd_sz_002,,,,doc_gd_sz_tqjf_2025_mtn4_001;doc_gd_sz_tqjf_2025_mtn4_002;doc_gd_sz_tqjf_2025_mtn4_003;doc_gd_sz_tqjf_2025_mtn4_004;doc_gd_sz_tqjf_2025_mtn4_005;doc_gd_sz_tqjf_2025_mtn4_006;doc_gd_sz_tqjf_2025_mtn4_007;doc_gd_sz_tqjf_2025_mtn4_008,,doc_gd_sz_tqjf_2025_mtn4_001;doc_gd_sz_tqjf_2025_mtn4_002;doc_gd_sz_tqjf_2025_mtn4_003;doc_gd_sz_tqjf_2025_mtn4_004;doc_gd_sz_tqjf_2025_mtn4_005;doc_gd_sz_tqjf_2025_mtn4_006;doc_gd_sz_tqjf_2025_mtn4_007;doc_gd_sz_tqjf_2025_mtn4_008,,,,,,,low,Low historical elite density,0.031,1.04,0.52,1.04,,,,,not_collected,,,,,not_collected,,,,,,
pilot_gz_003,llm_candidate_ready,not_validated,documented_candidate,pilot_expansion,debt_pressure_inland,1,1,Guizhou,Liupanshui,Liupanshui,六盘水市,六盘水市开发投资有限公司,六盘水市开发投资有限公司,,CHN.8.4_1,doc_gz_lps_kaitou_2016_bond_prospectus;doc_gz_lps_kaitou_2016_bond_rating;doc_gz_lps_kaitou_2022_tracking_rating;doc_gz_lps_kaitou_2021_enforcement_notice;doc_gz_lps_kaitou_2023_rating_watch_notice,5,prospectus;rating_report;rating_attention_notice,src_gz_lps_002;src_gz_lps_003,,,,doc_gz_lps_kaitou_2016_bond_prospectus;doc_gz_lps_kaitou_2016_bond_rating;doc_gz_lps_kaitou_2022_tracking_rating;doc_gz_lps_kaitou_2021_enforcement_notice;doc_gz_lps_kaitou_2023_rating_watch_notice,,doc_gz_lps_kaitou_2016_bond_prospectus;doc_gz_lps_kaitou_2016_bond_rating;doc_gz_lps_kaitou_2022_tracking_rating;doc_gz_lps_kaitou_2021_enforcement_notice;doc_gz_lps_kaitou_2023_rating_watch_notice,,,,,,,low,Low historical elite density,0.000,0.60,0.50,0.10,,,,,targeted_for_collection,,,,,not_collected,,,,,,
expand_zj_yuyao_chengtou,human_validated,human_validated,gold_standard,pilot_expansion,additional_county_level_coastal,0,0,Zhejiang,Yuyao,,,余姚市城市建设投资发展有限公司,余姚市城市建设投资发展有限公司,,,doc_zj_yuyao_chengtou_2026_mtn1_001;doc_zj_yuyao_chengtou_2026_mtn1_002;doc_zj_yuyao_chengtou_2026_mtn1_003;doc_zj_yuyao_chengtou_2026_mtn1_004;doc_zj_yuyao_chengtou_2026_mtn1_005;doc_zj_yuyao_chengtou_2026_mtn1_006;doc_zj_yuyao_chengtou_2026_mtn1_007;doc_zj_yuyao_chengtou_2026_mtn1_008;doc_zj_yuyao_chengtou_2026_mtn1_009,9,prospectus;financial_statement;accounting_opinion;rating_report;annual_report;legal_opinion;issuance_plan,src_zj_yy_chengtou_001,4,2015,Prospectus states that the company does not undertake government financing functions and that new debt after January 1 2015 is not local government debt; the same compliance section reports finance-bureau confirmation that the issuance will not add local-government or hidden debt.,doc_zj_yuyao_chengtou_2026_mtn1_001,"Formal no-government-financing language coexists with continued use of the same legal issuer as a core Yuyao public-development platform. The company remains important for land development, resettlement housing, public utilities, and municipal infrastructure, receives local-government support through asset injections and subsidies, and links public-project revenue to budgeted subsidies and government-authorized operating rights.",doc_zj_yuyao_chengtou_2026_mtn1_001;doc_zj_yuyao_chengtou_2026_mtn1_004,,nominal_exit,medium,substantive_exit,"The prospectus states that the issuer has no PPP, government-purchase-service, BT, or government-project advance-financing arrangements, and several revenue channels are presented as budgeted or operating-right based. This supports a narrower substantive-exit reading.",No independent platform-list exit document has been collected. Historical-capacity metrics for this added Yuyao target still need to be merged into the candidate capacity file.,,,,,,,,,,,not_collected,,,,,not_collected,,,,Shunyu Hao / Codex-assisted review,2026-06-30,New Zhejiang county-level coastal validated case; useful for distinguishing formal fiscal compliance from continued platform use in a stronger local fiscal environment.
expand_js_taizhou_jindong,human_validated,human_validated,gold_standard,pilot_expansion,additional_prefecture_case,0,0,Jiangsu,Taizhou,,,泰州市金东城市建设投资集团有限公司,泰州市金东城市建设投资集团有限公司,,,doc_js_tz_jindong_2026_mtn1_001;doc_js_tz_jindong_2026_mtn1_002;doc_js_tz_jindong_2026_mtn1_003;doc_js_tz_jindong_2026_mtn1_004;doc_js_tz_jindong_2026_mtn1_005;doc_js_tz_jindong_2026_mtn1_006;doc_js_tz_jindong_2026_mtn1_007,7,financial_report;prospectus;legal_opinion;issuance_plan;financial_statement,src_js_tz_jindong_001,4,2015,Prospectus states that the company does not undertake government financing functions and that new debt after January 1 2015 is not local government debt; the same disclosure says the issuance will not add local-government or hidden debt.,doc_js_tz_jindong_2026_mtn1_002,"Formal no-government-financing language coexists with a documented reorganization of public-project finance. Beginning in 2018, Xingdu Asset Management became the management and settlement node for land preparation and municipal construction projects, while the issuer continued to handle capital input, construction, land acquisition, demolition, and project procedures under entrusted-construction agreements. The issuer also remains the key infrastructure and state-asset platform in Jiangyan District.",doc_js_tz_jindong_2026_mtn1_002,,functional_transfer,medium,nominal_exit,"The same issuer remains deeply involved in public projects and continues to receive government-linked repayments and subsidies, so a narrower reading could treat the reform as formal renaming rather than transfer.",No independent platform-list exit document has been collected. Historical-capacity metrics for this added Taizhou target still need to be merged into the candidate capacity file.,,,,,,,,,,,not_collected,,,,,not_collected,,,,Shunyu Hao / Codex-assisted review,2026-06-30,New Jiangsu prefecture-level validated case; useful as a clear functional-transfer example because the prospectus documents post-2018 project-management and settlement restructuring.
expand_hlj_harbin_chengtou,human_validated,human_validated,gold_standard,pilot_expansion,additional_northeast_capital,0,0,Heilongjiang,Harbin,,,哈尔滨市城市建设投资集团有限公司,哈尔滨市城市建设投资集团有限公司,,,doc_hlj_hrb_chengtou_2026_mtn1_001;doc_hlj_hrb_chengtou_2026_mtn1_002;doc_hlj_hrb_chengtou_2026_mtn1_003;doc_hlj_hrb_chengtou_2026_mtn1_004;doc_hlj_hrb_chengtou_2026_mtn1_005;doc_hlj_hrb_chengtou_2026_mtn1_006;doc_hlj_hrb_chengtou_2026_mtn1_007,7,financial_report;prospectus;financial_statement;legal_opinion;issuance_plan,src_hlj_hrb_chengtou_001,4,2019,Prospectus states that the issuer was in the CBIRC full-caliber local-government financing-platform list at the end of 2018 and that on January 2 2019 the Heilongjiang CBIRC office changed its platform category from still-managed-as-platform to exit category.,doc_hlj_hrb_chengtou_2026_mtn1_003,"The issuer has unusually direct formal-exit evidence: the prospectus reports a January 2019 move from still-managed-as-platform to exit category. Yet the same source continues to show infrastructure, affordable housing, PPP, entrusted-construction, government-receivable, and legacy project-development functions. The case is therefore coded as nominal exit rather than substantive disappearance.",doc_hlj_hrb_chengtou_2026_mtn1_003,,nominal_exit,high,functional_transfer,"The issuer also reports market-oriented transition and no future government-financing role, which could be interpreted as fiscal substitution if later sources show that public functions were clearly absorbed by budgetary or state-asset channels.",The original 2019 CBIRC category-change document was not independently retrieved in this pass; the direct exit-list evidence comes from the 2026 issuer prospectus.,,,,,,,,,,,not_collected,,,,,not_collected,,,,Shunyu Hao / Codex-assisted review,2026-06-30,New Northeast provincial-capital high-confidence exit-list case.
expand_hb_xiaogan_chengtou,human_validated,human_validated,gold_standard,pilot_expansion,additional_central_prefecture,0,0,Hubei,Xiaogan,,,孝感市城市建设投资公司,孝感市城市建设投资公司,,,doc_hb_xg_chengtou_2026_mtn2_001;doc_hb_xg_chengtou_2026_mtn2_002;doc_hb_xg_chengtou_2026_mtn2_003;doc_hb_xg_chengtou_2026_mtn2_004;doc_hb_xg_chengtou_2026_mtn2_005;doc_hb_xg_chengtou_2026_mtn2_006;doc_hb_xg_chengtou_2026_mtn2_007;doc_hb_xg_chengtou_2026_mtn2_008,8,legal_opinion;financial_statement;financial_report;prospectus;issuer_commitment;bookrunner_commitment,src_hb_xg_chengtou_001,4,2015,Prospectus and legal opinion state that the company does not undertake government financing functions and that new debt after January 1 2015 is not local government debt; Xiaogan Finance Bureau confirmation is reported in the compliance section.,doc_hb_xg_chengtou_2026_mtn2_004,"The documents state that the issuer no longer undertakes government financing and that, after 2018, project funds mainly come from fiscal-budget special appropriations, own funds, and state-asset operating income. At the same time, the issuer keeps project-management, entrusted-construction, and government-linked receivable functions, making this a functional-transfer case rather than pure substantive exit.",doc_hb_xg_chengtou_2026_mtn2_004;doc_hb_xg_chengtou_2026_mtn2_001,,functional_transfer,medium,nominal_exit,"Because the issuer remains a major urban-construction and investment platform with large government-linked receivables, some evidence could support nominal exit if the fiscal-substitution channel proves weaker than the prospectus states.",No independent platform-list exit document was retrieved; the label relies on prospectus and legal-opinion disclosures.,,,,,,,,,,,not_collected,,,,,not_collected,,,,Shunyu Hao / Codex-assisted review,2026-06-30,New central-prefecture functional-transfer and fiscal-substitution case.
expand_tj_jinghai_chengtou,human_validated,human_validated,gold_standard,pilot_expansion,additional_tianjin_district_debt_pressure,0,1,Tianjin,Jinghai,,,天津市静海城市基础设施建设投资集团有限公司,天津市静海城市基础设施建设投资集团有限公司,,,doc_tj_jh_chengtou_2026_mtn1_001;doc_tj_jh_chengtou_2026_mtn1_002;doc_tj_jh_chengtou_2026_mtn1_003;doc_tj_jh_chengtou_2026_mtn1_004;doc_tj_jh_chengtou_2026_mtn1_005;doc_tj_jh_chengtou_2026_mtn1_006;doc_tj_jh_chengtou_2026_mtn1_007;doc_tj_jh_chengtou_2026_mtn1_008;doc_tj_jh_chengtou_2026_mtn1_009,9,issuance_plan;prospectus;financial_statement;financial_report;rating_report;legal_opinion,src_tj_jh_chengtou_001,4,2011,"Prospectus states that Tianjin banking regulators initially recognized the issuer as a financing-platform company during the 2010 platform regularization campaign and that, under Tianjin CBRC Office document 2011 No. 214, the issuer met platform-loan exit conditions and was transferred out of the CBRC financing-platform list in June 2011.",doc_tj_jh_chengtou_2026_mtn1_002,"The issuer has direct formal platform-list exit evidence, but the same legal issuer remains the core Jinghai infrastructure, heating, and entrusted-construction platform. The documents show BT legacy projects, post-2012 entrusted construction, fiscal settlement, government-linked receivables, and fiscal-support dependence. The official category changed while the public-development function remained inside the same corporate shell.",doc_tj_jh_chengtou_2026_mtn1_007;doc_tj_jh_chengtou_2026_mtn1_008,,nominal_exit,high,functional_transfer,Post-2012 entrusted-construction arrangements and no-government-financing language could support a functional-transfer reading if later evidence shows that project financing was durably absorbed by fiscal or other state-asset channels.,The original 2011 Tianjin banking-regulator exit notice was not collected directly; the direct exit evidence is quoted in the 2026 prospectus.,,,,,,,,,,,targeted_for_collection,,,,,not_collected,,,,Shunyu Hao / Codex-assisted review,2026-06-30,New Tianjin district high-confidence direct platform-list exit case.
expand_jx_zhanggong_jiantou,human_validated,human_validated,gold_standard,pilot_expansion,additional_central_core_district,0,0,Jiangxi,Ganzhou Zhanggong,,,赣州市章贡区建设投资集团有限公司,赣州市章贡区建设投资集团有限公司,,,doc_jx_zg_jiantou_2026_mtn1_001;doc_jx_zg_jiantou_2026_mtn1_002;doc_jx_zg_jiantou_2026_mtn1_003;doc_jx_zg_jiantou_2026_mtn1_004;doc_jx_zg_jiantou_2026_mtn1_005;doc_jx_zg_jiantou_2026_mtn1_006;doc_jx_zg_jiantou_2026_mtn1_007;doc_jx_zg_jiantou_2026_mtn1_008;doc_jx_zg_jiantou_2026_mtn1_009,9,rating_report;issuance_plan;prospectus;issuer_commitment;legal_opinion;financial_statement;financial_report,src_jx_zg_jiantou_001,4,2015,Prospectus and legal opinion state that the company does not undertake government financing functions and that new debt after January 1 2015 is not local government debt; the legal opinion also states that the government has stripped the issuer of government financing functions after stock-debt clean-up and identification.,doc_jx_zg_jiantou_2026_mtn1_003,"Formal no-government-financing language coexists with continuing municipal construction, affordable-housing and shantytown-renovation functions, fiscal-bureau settlement, large government-linked receivables, government subsidies, and transfer-loan arrangements through city- and province-level platforms. The same issuer remains central to the district development system, so the case is coded as nominal exit.",doc_jx_zg_jiantou_2026_mtn1_005;doc_jx_zg_jiantou_2026_mtn1_001,,nominal_exit,medium,functional_transfer,"Some project functions are routed through Zhanggong Guotou, city-level platforms, provincial platforms, and fiscal settlement channels, so a functional-transfer reading is plausible if later evidence shows that financing responsibility moved away from the issuer more cleanly.",No independent regulator or local government platform-list exit document has been collected. The formal event relies on issuer and legal-opinion compliance language.,,,,,,,,,,,not_collected,,,,,not_collected,,,,Shunyu Hao / Codex-assisted review,2026-06-30,New Jiangxi core-district nominal-exit case with unusually rich fiscal-settlement and transfer-loan evidence.
expand_zj_wenling_guotou,human_validated,human_validated,gold_standard,pilot_expansion,additional_county_level_coastal_functional_transfer,0,0,Zhejiang,Wenling,,,温岭市国有资产投资集团有限公司,温岭市国有资产投资集团有限公司,,,doc_zj_wl_guotou_2026_mtn2_001;doc_zj_wl_guotou_2026_mtn2_002;doc_zj_wl_guotou_2026_mtn2_003;doc_zj_wl_guotou_2026_mtn2_004;doc_zj_wl_guotou_2026_mtn2_005;doc_zj_wl_guotou_2026_mtn2_006,6,financial_statement;issuance_plan;legal_opinion;financial_report;prospectus,src_zj_wl_guotou_001,3,2015,"Prospectus states that the company does not undertake government financing functions and that new debt after January 1 2015 is not local government debt; the legal opinion reports no government investment fund, BT, project repurchase, government-purchase-service, or government-project advance financing.",doc_zj_wl_guotou_2026_mtn2_005,"Formal no-government-financing language coexists with continued public-project functions, but the current channel is fiscal and project-specific rather than classic platform repurchase or BT financing. The issuer receives fiscal project funds, records some construction funds as long-term payables, participates in PPP companies as the government-side investor, and continues infrastructure and state-asset functions. This pattern fits functional transfer.",doc_zj_wl_guotou_2026_mtn2_003,,functional_transfer,medium,nominal_exit,"The same issuer remains central to municipal infrastructure and state-asset management, and project funding remains closely tied to the Wenling government, so a nominal-exit reading remains plausible.",No independent platform-list exit document or rating report has been collected for this case. The label relies on issuer prospectus and legal-opinion disclosures.,,,,,,,,,,,not_collected,,,,,not_collected,,,,Shunyu Hao / Codex-assisted review,2026-06-30,New Zhejiang county-level functional-transfer case; useful as a fiscal-project-funding contrast to nominal-exit cases.
